datetime,aqi,co,no,no2,o3,pm2_5,pm10,so2,nh3
2026-06-07 22:46:08.908519,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:10.875400,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:12.350414,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:13.821698,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:15.266637,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:16.707878,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:18.564891,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:19.971821,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:21.504225,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:22.952527,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:24.370417,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:25.808492,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:27.264501,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:28.704441,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:30.179953,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:31.633278,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:33.100263,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:34.553937,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:35.985067,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:37.401713,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:38.846746,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:40.662133,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:42.139088,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:43.597847,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:45.073399,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:46.498165,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:47.955329,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:49.422936,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:50.890136,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:52.334365,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:53.783056,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:55.220623,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:56.695262,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:58.184954,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:46:59.622273,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:01.096883,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:02.547718,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:03.952093,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:05.401746,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:06.847353,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:08.264308,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:10.755643,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:13.572899,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:15.025982,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:16.835383,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:18.617871,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:20.050357,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:21.529005,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:23.957456,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:25.387930,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:26.858599,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:28.397616,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:29.866676,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:31.666708,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:33.075573,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:36.636509,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:38.232202,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:40.037514,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:42.510861,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:43.984367,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:46.488791,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:47.933914,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:50.395872,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:52.191483,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:53.606118,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:55.028473,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:56.485722,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:57.950886,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:47:59.458596,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:01.948871,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:03.397811,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:04.899727,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:06.443024,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:07.900458,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:09.319286,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:10.788748,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:12.229581,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:13.667168,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:15.113292,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:16.572890,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:18.369949,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:19.825425,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:22.647248,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
2026-06-07 22:48:25.080723,4,551.75,0,10.99,79.03,58.3,84.91,5.28,58.47
